mot turc;traduction française
Merhaba;Bonjour / Salut
Günaydın;Bonjour (le matin)
İyi günler;Bonne journée
İyi akşamlar;Bonsoir
İyi geceler;Bonne nuit
Hoşça kal;Au revoir (dit à celui qui reste)
Güle güle;Au revoir (dit à celui qui part)
Görüşürüz;À bientôt
Nasılsın?;Comment vas-tu ? (informel)
Nasılsınız?;Comment allez-vous ? (formel)
İyiyim;Je vais bien
Teşekkür ederim;Merci
Teşekkürler;Merci (informel)
Rica ederim;De rien
Lütfen;S'il vous plaît
Evet;Oui
Hayır;Non
Belki;Peut-être
Tamam;D'accord / OK
Üzgünüm;Je suis désolé(e)
Pardon;Pardon / Excusez-moi
Affedersiniz;Excusez-moi (pour attirer l'attention)
Anlamadım;Je n'ai pas compris
Tekrar söyler misiniz?;Pouvez-vous répéter ?
Türkçe bilmiyorum;Je ne parle pas turc
Türkçe öğreniyorum;J'apprends le turc
Fransızca biliyor musunuz?;Parlez-vous français ?
Adınız ne?;Quel est votre nom ?
Adım...;Je m'appelle...
Memnun oldum;Enchanté(e)
